Country/Region,Batteries / Storage,Circular / E-waste,EV / Electric Vehicles,Hydrogen / Fuel Cells,Solar PV,Wind
Australia,3,3,0,1,1,0
Brazil,1,16,0,1,0,0
China,12,58,6,1,9,7
European Union,5,123,4,4,7,6
Germany,3,11,2,2,0,2
Global / Multi-country,25,335,14,33,20,21
India,2,18,1,0,2,2
Indonesia,2,7,1,0,0,0
Malaysia,1,9,2,0,5,1
United Kingdom,1,23,0,4,0,2
United States,9,33,4,3,9,9
Viet Nam,0,5,1,0,0,0
